source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,gene_ratio,recall,query,parents,qscore
GO:BP,GO:0009101,glycoprotein biosynthetic process,0.0005471456275431463,True,"""The chemical reactions and pathways resulting in the formation of glycoproteins, a protein that contains covalently bound glycose (i.e. monosaccharide) residues; the glycose occurs most commonly as oligosaccharide or fairly small polysaccharide but occasionally as monosaccharide."" [PMID:35536965]",254,180,13,20972,0.07222222222222222,0.051181102362204724,query_1,"['GO:0009059', 'GO:0009100', 'GO:1901137']",0.2355814548422679
GO:CC,GO:0098827,endoplasmic reticulum subcompartment,0.0005682715348841461,True,"""A distinct region of the endoplasmic reticulum."" [GOC:dos]",1249,185,28,22155,0.15135135135135136,0.02241793434747798,query_1,"['GO:0005783', 'GO:0031984']",0.491202349895323
GO:BP,GO:1901137,carbohydrate derivative biosynthetic process,0.000586216973832383,True,"""The chemical reactions and pathways resulting in the formation of carbohydrate derivative."" [GOC:TermGenie]",556,180,19,20972,0.10555555555555556,0.0341726618705036,query_1,"['GO:0009058', 'GO:1901135']",0.34114939224880375
GO:BP,GO:0036211,protein modification process,0.0008006753864066679,True,"""The covalent alteration of one or more amino acids occurring in proteins, peptides and nascent polypeptides (co-translational, post-translational modifications). Includes the modification of charged tRNAs that are destined to occur in a protein (pre-translation modification)."" [GOC:bf, GOC:jl]",2360,180,44,20972,0.24444444444444444,0.01864406779661017,query_1,"['GO:0019538', 'GO:0043412']",0.7569328609214194
GO:MF,GO:0140096,"catalytic activity, acting on a protein",0.00099272206962551,True,"""Catalytic activity that acts to modify a protein."" [GOC:molecular_function_refactoring, GOC:pdt]",2365,181,44,20208,0.2430939226519337,0.018604651162790697,query_1,['GO:0003824'],0.7300529404046638
GO:BP,GO:0046907,intracellular transport,0.0011995633069539463,True,"""The directed movement of substances within a cell."" [GOC:ai]",1375,180,31,20972,0.17222222222222222,0.022545454545454546,query_1,"['GO:0006810', 'GO:0051641', 'GO:0051649']",0.5030571202399821
GO:CC,GO:0005789,endoplasmic reticulum membrane,0.0015956513434401453,True,"""The lipid bilayer surrounding the endoplasmic reticulum."" [GOC:mah]",1243,185,27,22155,0.14594594594594595,0.02172164119066774,query_1,"['GO:0031090', 'GO:0042175', 'GO:0098827']",0.4082198591381456
GO:BP,GO:0006996,organelle organization,0.0017820157802888783,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of an organelle within a cell. An organelle is an organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:mah]",3573,180,57,20972,0.31666666666666665,0.01595298068849706,query_1,['GO:0016043'],0.8705446772498099
GO:CC,GO:0042175,nuclear outer membrane-endoplasmic reticulum membrane network,0.0022308955891402905,True,"""The continuous network of membranes encompassing the nuclear outer membrane and the endoplasmic reticulum membrane."" [GOC:bf, GOC:jl, GOC:mah, GOC:mcc, GOC:pr, GOC:vw]",1266,185,27,22155,0.14594594594594595,0.02132701421800948,query_1,"['GO:0012505', 'GO:0016020']",0.38697870481080693
GO:CC,GO:0016020,membrane,0.002456374644050112,True,"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]",9975,185,113,22155,0.6108108108108108,0.011328320802005012,query_1,['GO:0110165'],1.5940362678547777
GO:BP,GO:0043412,macromolecule modification,0.002551566714526129,True,"""The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."" [GOC:go_curators]",2547,180,45,20972,0.25,0.0176678445229682,query_1,['GO:0043170'],0.6482982679762084
GO:CC,GO:0140534,endoplasmic reticulum protein-containing complex,0.002639024736593097,True,"""A protein complex that is part of an endoplasmic reticulum."" [GOC:pg]",121,185,8,22155,0.043243243243243246,0.06611570247933884,query_1,"['GO:0005783', 'GO:0032991']",0.11150514763034736
GO:CC,GO:0000139,Golgi membrane,0.007993722850408681,True,"""The lipid bilayer surrounding any of the compartments of the Golgi apparatus."" [GOC:mah]",700,185,18,22155,0.0972972972972973,0.025714285714285714,query_1,"['GO:0005794', 'GO:0098588']",0.20405684560834164
GO:CC,GO:0043231,intracellular membrane-bounded organelle,0.008157177868925993,True,"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",14817,185,149,22155,0.8054054054054054,0.010056016737531214,query_1,"['GO:0043227', 'GO:0043229']",1.6820570275068887
GO:CC,GO:0005740,mitochondrial envelope,0.009101895226412717,True,"""The double lipid bilayer enclosing the mitochondrion and separating its contents from the cell cytoplasm; includes the intermembrane space."" [GOC:ai, GOC:pz]",845,185,20,22155,0.10810810810810811,0.023668639053254437,query_1,"['GO:0005739', 'GO:0031967']",0.22063439654533848
GO:BP,GO:0009100,glycoprotein metabolic process,0.009111796455685295,True,"""The chemical reactions and pathways involving glycoproteins, a protein that contains covalently bound glycose (i.e. monosaccharide) residues; the glycose occurs most commonly as oligosaccharide or fairly small polysaccharide but occasionally as monosaccharide."" [GOC:go_curators, ISBN:0198506732]",327,180,13,20972,0.07222222222222222,0.039755351681957186,query_1,"['GO:0019538', 'GO:1901135']",0.1473619326348947
GO:CC,GO:0005739,mitochondrion,0.009533659265990925,True,"""A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."" [GOC:giardia, ISBN:0198506732]",1865,185,33,22155,0.1783783783783784,0.01769436997319035,query_1,"['GO:0005737', 'GO:0043231']",0.3604563910134307
GO:CC,GO:0015935,small ribosomal subunit,0.011662872356716805,True,"""The smaller of the two subunits of a ribosome."" [GOC:mah]",74,185,6,22155,0.032432432432432434,0.08108108108108109,query_1,['GO:0044391'],0.0626981992685192
GO:CC,GO:0043229,intracellular organelle,0.014855458236026593,True,"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]",16204,185,158,22155,0.8540540540540541,0.009750678844729696,query_1,"['GO:0005622', 'GO:0043226']",1.5613081279410477
GO:CC,GO:0031967,organelle envelope,0.015264383067606238,True,"""A double membrane structure enclosing an organelle, including two lipid bilayers and the region between them. In some cases, an organelle envelope may have more than two membranes."" [GOC:mah, GOC:pz]",1332,185,26,22155,0.14054054054054055,0.01951951951951952,query_1,"['GO:0043227', 'GO:0043229', 'GO:0110165']",0.2552666991087
GO:BP,GO:0043687,post-translational protein modification,0.0194749206217781,True,"""The process of covalently altering one or more amino acids in a protein after the protein has been completely translated and released from the ribosome."" [GOC:jsg]",977,180,23,20972,0.12777777777777777,0.02354145342886387,query_1,['GO:0036211'],0.21856699437462737
GO:BP,GO:0070647,protein modification by small protein conjugation or removal,0.027116721867836483,True,"""A protein modification process in which one or more groups of a small protein, such as ubiquitin or a ubiquitin-like protein, are covalently attached to or removed from a target protein."" [GOC:mah]",927,180,22,20972,0.12222222222222222,0.023732470334412083,query_1,['GO:0043687'],0.19149323274376384
GO:BP,GO:0051179,localization,0.030231035632496083,True,"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]",5493,180,73,20972,0.40555555555555556,0.013289641361733115,query_1,['GO:0008150'],0.616260717568997
GO:CC,GO:0005743,mitochondrial inner membrane,0.034006591471433124,True,"""The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."" [GOC:ai]",511,185,14,22155,0.07567567567567568,0.0273972602739726,query_1,"['GO:0019866', 'GO:0031966']",0.11112495427929822
GO:BP,GO:0051234,establishment of localization,0.03432587879094046,True,"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]",4804,180,66,20972,0.36666666666666664,0.013738551207327226,query_1,['GO:0051179'],0.536938722978985
GO:BP,GO:0032446,protein modification by small protein conjugation,0.03878145147032134,True,"""A protein modification process in which one or more groups of a small protein, such as ubiquitin or a ubiquitin-like protein, are covalently attached to a target protein."" [GOC:mah]",810,180,20,20972,0.1111111111111111,0.024691358024691357,query_1,['GO:0070647'],0.15681954896087294
GO:CC,GO:0035577,azurophil granule membrane,0.03971779106369273,True,"""The lipid bilayer surrounding an azurophil granule, a primary lysosomal granule found in neutrophil granulocytes that contains a wide range of hydrolytic enzymes and is released into the extracellular fluid."" [GOC:bf, PMID:17152095]",58,185,5,22155,0.02702702702702703,0.08620689655172414,query_1,"['GO:0005765', 'GO:0030667', 'GO:0042582']",0.03786526792258127
GO:CC,GO:0031966,mitochondrial membrane,0.04135941575719626,True,"""Either of the lipid bilayers that surround the mitochondrion and form the mitochondrial envelope."" [GOC:mah, NIF_Subcellular:sao1045389829]",796,185,18,22155,0.0972972972972973,0.022613065326633167,query_1,"['GO:0005740', 'GO:0031090']",0.13460357235030335
