Gene,Frequency
SERPINA3,1319
CCAR1,1318
NUCKS1,1318
CAPRIN1,1317
RIN3,1317
FASTKD2,1315
ATAD5,1313
KCNH8,1309
KIF5A,1308
NAA38,1307
ANKRD13D,1306
CELF3,1306
ETFDH,1305
SYT15,1305
LRRC8B,1303
NAPEPLD,1302
ABCG2,1301
FILIP1L,1299
NKAPL,1296
YTHDC1,1294
EXOC1,1293
MRPL19,1293
MRTO4,1291
PGBD1,1289
TAF1B,1289
ZNF280B,1289
PRICKLE1,1283
GRB10,1281
MYO9A,1281
USP39,1279
GCM2,1278
E2F8,1277
GTF2A1L,1276
SIRPB1,1276
OPN5,1272
DDX52,1271
PTCHD1,1270
RBBP4,1270
NETO1,1269
PIK3R5,1269
SFXN1,1268
PTCD3,1267
MCM6,1265
MIER2,1261
MIER3,1261
SPTY2D1,1261
GTF2H5,1260
RPAP2,1260
ZNF689,1260
FCN2,1258
CLINT1,1256
CTCFL,1256
DCDC1,1256
ZNF117,1256
CNGB3,1255
PARP10,1251
FAF1,1250
GLRB,1249
EBF2,1248
ATP2B1,1245
ARSG,1243
EDC3,1243
EGLN1,1241
HDAC10,1238
CBX3,1236
GPR12,1235
NFKBIE,1235
SLTM,1235
TRA2B,1235
ZNF354B,1235
ZNF569,1235
ZNF71,1235
ZNF789,1235
MLH3,1234
NUSAP1,1234
TNPO1,1232
SOX18,1231
CLCN2,1229
HLA-A,1228
GABRG1,1227
SESTD1,1227
ISY1,1226
MBNL2,1226
ASCL1,1224
PPP1R3F,1224
SP140,1223
CNPY2,1222
SMYD2,1222
TMED10,1222
GSG1L,1221
GYPA,1220
THEM4,1219
TBC1D25,1217
ZNF362,1217
RHOC,1216
FZD4,1215
HEY1,1215
TESC,1215
RBFOX1,1214
THTPA,1211
AKAP5,1210
EXOSC6,1210
HOOK2,1210
DUSP28,1209
FDFT1,1206
RBM14,1206
SERBP1,1206
SRSF10,1206
ZNF335,1206
NFATC3,1205
SUPT16H,1205
BBS7,1204
DAZAP1,1204
DHFR,1203
NLK,1203
FGF14,1200
RBM39,1199
TBX15,1199
SYNCRIP,1198
CASP12,1197
HEBP2,1194
RIMBP2,1193
FKBP15,1190
HDX,1189
TAF1D,1189
BRD4,1187
CREM,1187
DROSHA,1187
HSBP1,1187
PLAC8,1187
INPP5F,1186
ZNF154,1186
ZNF175,1185
MYT1L,1184
PIK3C3,1184
TBCA,1184
INPP4B,1183
PKIB,1183
VTI1A,1181
EDA2R,1180
MAFK,1180
ZNFX1,1180
CPT1C,1179
SKA3,1179
ZBTB4,1179
AFAP1L2,1177
IRF8,1177
RBFOX3,1177
ELF3,1176
PATL1,1176
ZC3H11A,1176
ZNF148,1176
DARS2,1173
MPP4,1172
THAP3,1172
LIMD1,1171
EIF3M,1170
NPL,1168
HLA-DPA1,1166
SLC25A29,1165
SNX6,1165
VIM,1164
CDCA7,1161
FASTKD3,1161
FLVCR1,1161
LYRM7,1160
SLC13A5,1160
TCF7L2,1158
TIRAP,1158
HEYL,1157
MRPS5,1155
QSOX2,1155
IARS2,1153
ARHGAP15,1152
CELF4,1152
CEP97,1151
PRKAR1A,1151
RIF1,1149
NCOA7,1147
SLC16A10,1147
TBRG4,1147
ITGAX,1146
PIP5KL1,1146
SLC36A1,1146
CC2D1A,1144
COX17,1138
ABCA9,1137
TPK1,1137
CD55,1133
UQCRB,1133
KLRG1,1132
PIK3R2,1132
PLXNA2,1132
SMARCA4,1132
TRIM8,1132
DOCK4,1131
PFKFB1,1130
ZNF667,1130
PIKFYVE,1129
PHF21A,1128
ADRA2A,1127
TTC7A,1127
HCN3,1126
MAML2,1126
CHD7,1124
DGKI,1124
ELK3,1124
PDE8B,1124
FOXO3,1122
SLC25A18,1122
MAP2K1,1119
BEX1,1118
TCEAL7,1118
ZNF814,1118
GAS2L2,1117
GINS2,1116
XPO7,1116
FCHSD1,1115
JAM3,1115
LIN9,1115
EHD1,1114
RGPD4,1114
TNFAIP8L2,1114
TRNT1,1114
CD300LB,1113
AKNA,1112
PAIP2B,1111
ZC3H13,1111
THAP5,1110
EPS15L1,1109
KCTD21,1109
ZBTB3,1109
GLIPR1,1108
NANOS3,1108
GNL3L,1107
NANP,1107
PDE6A,1107
STON2,1107
RORA,1106
TNFSF13B,1106
DHODH,1105
TBX5,1105
TLK2,1105
PEX5L,1103
ZMAT5,1102
AK5,1101
CLCN5,1101
STARD4,1101
FOXL1,1100
GEMIN4,1100
IGHD,1100
IRF4,1100
KCNA4,1099
SPAG17,1099
PPCDC,1097
MRPS26,1096
SNRNP27,1095
ERI1,1094
RREB1,1094
RPS6KA6,1093
SLC28A1,1093
TNFRSF10A,1093
THRSP,1092
ALOX5AP,1090
AADAT,1089
CDK17,1089
TMEM106A,1088
CASP8AP2,1087
SF1,1087
AP4B1,1086
RASGRP3,1086
MAP2K2,1085
MON1B,1085
XKR6,1085
BCDIN3D,1084
GLRA2,1084
JAK2,1083
MAGI1,1083
AMACR,1082
RRP36,1082
ZNF829,1082
CNNM4,1081
LUC7L3,1081
PUS1,1081
TANK,1080
WIPF1,1080
AGAP2,1078
GLI3,1078
LIN52,1078
NFE2L2,1078
WDR4,1078
RPL4,1076
DRP2,1075
DST,1075
NFRKB,1075
SHQ1,1075
ACOT12,1074
ARHGAP24,1074
TREML1,1073
ARHGAP20,1072
BEND3,1072
CDKAL1,1072
DAGLB,1071
HLA-DRB4,1071
IL17RE,1071
MAT2B,1071
DLK2,1070
EVC2,1070
GIT1,1070
RTN4R,1069
PGM2L1,1068
RRAS,1068
VPS53,1068
DLG2,1067
TSSK4,1067
PFDN6,1065
ZNF318,1065
FXYD6,1064
GMNN,1064
PPP1R14B,1064
RHOQ,1064
CDC42SE1,1063
TAB2,1063
NUDT4,1062
GPR18,1061
RANBP1,1061
XCR1,1061
FANCM,1060
FRMD4A,1059
ASXL2,1058
HNRNPH1,1058
LRAT,1058
NUDT16,1058
CALHM2,1057
IL20RA,1057
RASL10A,1057
ASPA,1056
LIMA1,1055
NUF2,1055
TMEM119,1055
SLC25A15,1054
SRGAP1,1053
SERGEF,1052
BCAR1,1051
PXK,1051
GRIN2A,1050
BCL6B,1049
DMAP1,1049
PANK2,1049
TSLP,1049
APPL1,1048
CNOT3,1048
CARHSP1,1047
SCAMP5,1047
SLX4,1047
FXYD5,1046
HIGD1A,1046
HNRNPL,1046
MAP2K7,1046
ZBTB7C,1046
ARHGAP28,1045
DDHD2,1045
HBS1L,1045
HVCN1,1045
ANKS1B,1044
FCGR1A,1044
LRRC39,1044
LY75,1044
NRM,1044
SCUBE2,1044
TAGAP,1044
TFRC,1044
ARF4,1043
IL17D,1043
ACMSD,1042
RALGAPA2,1041
RBPJ,1041
SHC4,1041
TMEM170B,1041
SCARA3,1040
RNPC3,1039
GAPT,1038
RP9,1038
NCAM2,1037
TKT,1037
TMEM163,1037
TMEM165,1037
F2RL2,1036
FCRLA,1036
GPR34,1036
MUC5B,1036
VNN1,1036
TNRC6B,1035
GPATCH1,1034
DLGAP4,1033
RBM24,1033
STX1B,1033
TFDP3,1033
ARHGEF11,1032
EXOC6B,1032
PRKCQ,1032
SLC5A12,1032
TPTE,1032
GIT2,1031
RASAL2,1030
SH3BP5L,1030
PNPLA8,1029
HPS4,1028
INVS,1028
LZTS2,1025
NXPH2,1025
NXPH3,1025
PDE1C,1025
PDE5A,1025
IL31RA,1024
SCNM1,1024
SRGAP2,1024
ARRB2,1023
CBX5,1023
SLC25A13,1023
AKR1C1,1022
DAB2,1022
GLIS3,1022
FKBP14,1020
UGT2B15,1020
SPAG9,1019
URS000001C914_9606,1019
SCARA5,1018
HSPB1,1017
IL1RAP,1017
WNT5A,1017
NLRC3,1016
SRRM2,1016
GK,1015
SH2D4A,1015
SLC8A1,1014
CAPS,1013
FCGRT,1013
GSTT1,1013
HOXD8,1013
TERF1,1013
AGMAT,1011
AURKAIP1,1011
CTNNAL1,1011
LRGUK,1011
EMP2,1010
SORCS2,1009
ACACB,1007
CDK13,1007
AZI2,1005
CAST,1005
RECQL5,1005
FREM3,1004
ARNT,1003
ANKRD17,1002
CLDN16,1002
GSDMD,1002
MVK,1002
MC1R,1001
SLC40A1,1001
WWC1,1001
AHCTF1,1000
EYS,1000
PACRG,1000
GNA13,999
B4GALT2,998
BTN3A2,998
MTBP,997
PILRB,997
YAF2,997
CD28,996
FER,996
SOX17,995
ADORA3,994
SLC25A45,994
TMC8,994
ETNK1,993
FAM53B,993
EIF3K,992
PHF8,992
CD59,991
BCL9L,990
RTP4,989
SSPN,988
LRRC40,987
RIC8A,987
RPS6KC1,987
ZBTB8OS,987
EIF4EBP2,984
MARS2,984
NBEA,984
SLC35D2,984
STXBP5L,984
CD93,983
EHMT2,983
PSG5,983
RASL10B,981
TIA1,981
HMGA1,980
MPHOSPH8,980
ZNF470,980
CHD9,979
DGCR8,977
IFT172,976
QKI,976
NCLN,974
RPS15A,974
RAPGEF2,973
SPG21,973
IKBKB,972
ATP1A1,971
NLRC5,970
GNG2,969
MYO5B,969
ANXA6,965
E2F5,964
EXOSC3,963
IL33,963
BAG3,962
ROPN1,962
LRFN5,960
SLAMF1,960
TOX4,960
EHMT1,959
DGKE,958
MCTS1,956
OSBPL5,956
POLR3E,956
SMARCC2,955
PPP1R3B,954
RAD9B,954
TES,954
DNM3,952
RBMS3,952
ZC3H7A,952
SMAD3,951
SNRPN,951
USP7,951
MOCOS,950
CLEC14A,948
GPC4,948
HELZ,948
SLFN11,948
SLC29A2,946
TMEM51,946
MTNAP1,944
SLC6A11,944
LARP4,941
TMEM167A,941
ALMS1,940
CACNB4,939
MLYCD,939
NRXN1,939
TRPM1,939
NUP62,938
PRKCB,938
PTPN22,937
BASP1,936
SLC2A14,936
TP53I13,936
ACAD9,933
ODAM,933
PEX2,933
SORCS1,932
RAB3IP,929
BTLA,928
STMN4,928
ICOSLG,927
PLBD1,926
MYPN,923
VMA21,923
GPATCH2,922
LIPI,921
AICDA,920
FNDC4,920
ETAA1,919
SLC22A9,917
DHRS9,916
PITPNM3,916
TUBGCP6,916
RIMKLB,915
SARNP,915
SOX6,915
ATP2A1,914
EFNA5,913
XRN1,913
NIPAL3,912
POLDIP3,912
TMEM39A,912
DTNA,911
GOLGA3,911
GRIA4,911
GRIK4,911
TRIM59,911
PRR11,909
TSPYL2,909
LPAR5,907
SPICE1,907
OVOL2,906
CDON,905
PEX1,904
CPNE8,903
SYT7,903
SLC20A2,902
CA14,901
RDH12,901
PIWIL4,900
CD5L,899
STAT3,899
OGN,897
RNF169,897
TIAM2,897
CYLD,896
SPAG5,896
GPR157,895
MAEL,895
SLC5A9,895
TTC39C,895
ZNF704,895
ZNF826P,895
ARHGAP32,894
TMCO1,894
PPARA,893
PLXDC1,892
ZNF207,892
JAG1,891
SLC25A1,891
TEX11,891
COQ2,890
CXXC5,890
FAM9B,890
METTL2B,890
DDX4,889
MDH1B,887
BAAT,886
TCHP,885
SLC6A2,883
TTC4,883
CTNNA2,882
NCAPG,882
NHLRC2,882
DHDH,881
IFI44L,881
AKT1S1,879
MYCBP2,879
WAS,879
BICC1,878
SLC1A7,877
TMEM17,877
AK2,875
LGALS13,875
MAP3K10,874
RNLS,874
CNP,872
KCNJ11,871
KIDINS220,871
TEAD1,870
PTDSS2,869
TM9SF3,869
FAM47E,868
METTL8,867
NIP7,866
RPS27L,866
WTAP,864
DHX35,863
HMOX2,863
JAM2,863
KCNS2,863
RPP14,863
SLCO4A1,863
HAO1,862
SRSF1,862
ABCB8,861
ACSM2A,861
FOXRED1,861
PGAP1,861
WFDC5,861
DNAJC7,859
HGSNAT,859
SFXN5,859
ARHGAP27,858
CCM2,857
DHX29,857
GRM7,857
PLCL1,857
RIC8B,857
KCNJ8,856
TRIM11,856
DHRSX,855
FNIP2,855
TFB2M,855
KHSRP,854
BCL2L10,853
PSAT1,853
SORT1,853
SERPINB9,851
WFDC3,851
YLPM1,851
ALDH1L2,850
IL17RB,850
SMC1A,850
BICD1,849
CRYZL1,849
MAP4K3,848
ANKLE2,847
NKAIN4,847
ANKHD1,846
RAB11B,846
SLC22A25,846
ALG10B,845
DAPP1,845
PPM1K,844
ARHGAP33,843
CASR,843
CLNK,843
CXXC4,843
LCP2,843
LUC7L,843
MCTP2,843
PITPNC1,843
PPARD,842
SRD5A3,841
ERGIC1,838
SLC25A37,838
NAP1L4,836
TMEM87A,836
TNPO2,836
ACSBG2,835
CTNND1,835
MRC2,834
RBKS,834
SPOCD1,834
DIP2A,833
MUC13,833
TRPV4,832
UPF2,831
WFDC1,831
SYTL2,828
HHIP,827
PSCA,827
STAG3,827
RPRM,826
CROT,825
VIL1,825
ZFP91,825
COQ10B,824
DOK2,823
SLC9A5,823
ATG16L2,822
PAPOLA,822
NDUFC1,821
PSMB2,821
TBX3,821
WNT4,821
CXCL17,820
CNTN2,817
CHPT1,816
CLEC4C,816
NRK,816
SLC46A2,816
CACNA1A,815
HOXB5,815
RBM19,815
CCDC3,814
FZD8,814
NIPAL1,814
PLA2G4E,813
RAB28,813
XAF1,813
CD274,812
GK5,812
RAB40A,812
ARHGEF9,810
CABIN1,810
PAG1,810
RGS5,810
DSG3,808
IL17RA,808
SHC3,808
CYP4V2,807
SLA,806
NUDT6,805
KCNJ16,804
TSPAN12,804
UBN1,804
GBP5,803
GPR78,803
SAMM50,803
DTX3,802
CYP4A22,801
UAP1,801
ALDOB,800
CSNK1G1,798
GDPD3,798
ATM,797
CDH6,797
EML5,797
PELI3,797
PPP4R1,797
CCNY,796
CDIPT,796
FRMPD4,796
LIFR,796
NGEF,796
TSPYL5,794
BMPR2,793
STRN,793
FOXK1,792
IFIT3,792
TYW3,792
VAC14,792
TPCN2,791
AAK1,790
AKAP12,790
MPI,790
SHISA6,790
PCDHB13,789
PHLDA3,789
PUS10,789
SCYL1,789
SNX5,789
TSPAN3,789
CA12,788
CABP4,787
DDIT4,787
GNAL,787
GPR75,787
SOS1,787
TLR5,787
ARHGAP31,786
GLUD1,786
PM20D1,786
TOM1L2,786
NOD1,785
CEP63,784
NDUFS1,782
ARID1A,781
CBLB,780
FGD4,780
GPRC5A,780
KANK2,780
OAS3,780
PLCB3,780
TIMM22,780
ANKRD53,779
DAP3,779
PCDH17,779
PTGER3,779
DOCK10,777
HRH1,777
IYD,777
AKR1E2,775
ARHGAP5,775
NDUFA10,774
TGFBRAP1,774
INHBA,772
BCL2L11,771
EMILIN1,771
CWF19L2,770
ODAD1,770
SIDT2,770
SPON2,770
FSD1,769
PCDH9,769
XPO4,768
CXCL14,767
MTHFD1L,767
MTRF1L,767
CPEB4,766
TPRG1L,766
ZDHHC22,765
ACAD10,764
KLF8,764
B3GNT9,763
FAM83D,763
GKAP1,763
IL6ST,763
RBM7,763
HAL,760
RASGRP4,760
TTC8,760
WDR3,760
ZNF621,760
RIMS1,759
CHST11,756
ECHDC2,756
DOC2A,755
FPR3,755
GRM8,755
IL13RA1,755
HIF1AN,754
WEE2,754
CES4A,753
CHKB,753
CLDN23,752
UBASH3B,752
CALML4,751
SSH1,751
SAP30BP,749
DSCR8,748
TBC1D22B,748
ATAD1,747
DNAJB4,747
H6PD,747
CDH24,746
ZNF879,743
MEGF6,742
SLC39A13,742
GPRC5B,741
IL7R,741
LMO4,741
CPEB2,740
DDHD1,740
HLA-DOA,739
TRIM32,739
TRPC5,739
OGFR,738
PIK3IP1,738
SLC9A6,738
RSU1,737
UCKL1,737
DLC1,736
EIF5A2,736
HLA-F,736
CALD1,735
CDH4,734
NSL1,734
SKAP2,734
KCNV1,733
LRP1B,731
TMTC1,731
GNAQ,730
GALNT10,729
TREX1,729
ANKRD13A,728
ASAH1,728
SPRYD3,728
GNA14,726
SYCP1,726
KCNN2,725
RSPH1,725
EIF4ENIF1,723
IQCB1,723
ISM1,723
RNASE6,722
VPS29,722
FRMD3,721
KICS2,721
TMEM231,721
ARHGEF1,720
PDCL,720
VEPH1,720
IGHM,719
SAV1,719
CLCN7,718
DOCK9,718
LPP,718
SLC35H1,718
CAND1,717
DCLRE1C,717
GLYATL1,717
RAVER1,717
SETDB2,717
FA2H,716
PIK3AP1,716
TBCD,716
CASKIN2,715
RASGRF2,714
ENTPD7,713
FANCD2,713
MUC15,713
POP5,713
REV1,713
HMG20B,712
MCOLN3,712
SAGE1,711
CDCA2,710
RPS29,709
PDE4A,707
NUBPL,706
POMP,706
PEX26,705
ANO5,704
PTBP2,704
CACNA1E,703
LGALS8,701
MRPL2,701
NUMB,701
AGXT2,700
ARMC2,699
FHIP1B,699
FBN3,698
HS6ST3,698
NOTCH4,698
OSTM1,698
RAB4B,698
RBBP6,698
TBRG1,698
CMPK2,697
KRIT1,697
SLC35C1,697
TRIM24,697
MPHOSPH6,696
PDE4DIP,696
RGPD1,696
DNASE1,695
IREB2,694
AAAS,693
BBS2,693
CATSPERG,693
NCBP1,693
PLA2R1,692
SGMS2,691
ACSS3,690
TUT1,689
BIRC3,688
PLEKHA1,688
PPP1R1B,688
ANGPTL3,687
CAMK4,687
FIBIN,687
GRWD1,687
SHB,687
MAPK10,686
NUDCD2,686
DYNC2LI1,685
THNSL1,685
TRIM44,684
SLC22A17,683
SOCS3,681
LRRC52,679
UQCR11,679
GALNT6,677
GTSE1,677
SPPL3,677
TMEM25,677
ACVRL1,676
GPR27,676
RIT1,676
TMEM127,676
CFAP276,675
HIGD1C,675
MRPL41,675
SLC43A2,675
TEX101,675
CECR2,674
KIF14,674
SLC25A10,674
SLC22A6,673
TIFA,673
EGLN2,672
RPL30,672
CYB5RL,671
PRKCE,671
ABCB5,670
MRPS25,669
ORAI2,669
ZRANB3,669
ZSWIM5,669
EXOSC9,668
FIGN,668
FRS2,668
HS3ST1,668
LYVE1,668
SGCD,668
SNX10,668
UNC45B,668
MEF2A,667
PELI2,667
SLC2A11,667
ABCB10,666
FUZ,665
SMOC2,665
POC1B,664
ST6GALNAC5,664
FATE1,663
KCNT2,663
ZDHHC11,663
AMMECR1,661
PABPC1,661
DERL3,659
IRAK3,659
PARP14,659
DTWD1,658
FANCC,658
SLC25A32,658
CCNB1,657
PRPF40A,657
FITM2,656
LCAT,656
NTRK2,656
SMARCAL1,656
EGFLAM,655
NOTCH1,655
PPP2CA,655
PTPRG,655
TAPT1,655
TRDN,654
QRSL1,653
RIC3,653
SYT6,653
HLA-B,652
SYNE2,652
ERCC4,651
