Solution 1,Cluster 1,Solution 2,Cluster 2,Disjoint Genes
0,0,9,0,"{'SEH', 'HCHIB', 'VEP1', 'GRF7', 'WIN2', 'CM1', 'CCR1', 'EXO70A3', 'NIA2', 'PLDBETA1', 'RNS2', 'EF1alpha', 'ERD5', 'AT3G15350', 'ACX2', 'GSTF6', 'GS2', 'CAM2', 'MFP2', 'NDPK1', 'PKT3', 'ROF1', 'ICK1', 'UGT88A1', 'TBL15', 'PETE1', 'RNS1', 'GSTU19'}"
0,0,10,2,"{'uL18-L4', 'SEH', 'GPX2', 'HPL1', 'WIN2', 'CM1', 'CCR1', 'EXO70A3', 'NIA2', 'PLDBETA1', 'RNS2', 'EF1alpha', 'ERD5', 'AT3G15350', 'GSTF6', 'GS2', 'CAM2', 'MFP2', 'FAH1', 'MPPalpha', 'UGT88A1', 'RNS1', 'GSTU19'}"
0,0,11,0,"{'cPGK2', 'GER2', 'GRF7', 'CM1', 'CCR1', 'EXO70A3', 'NIT2', 'ELI3-1', 'ERD5', 'PLDALPHA1', 'GSTF6', 'LecRK-V.5', 'GS2', 'MFP2', 'TT4', 'PKT3', 'ROF1', 'PR4', 'ICK1', 'UGT88A1', 'CCOAMT', 'GSTU19', 'SEH', 'HCHIB', 'GPX2', 'HPL1', 'CYP71B6', 'WIN2', 'NIA2', 'LOX1', 'CAD9', 'PLDBETA1', 'RNS2', 'EF1alpha', 'AT3G15350', 'ARAB-1', 'DHS1', 'PLC1', 'CAM2', 'NDPK1', 'MPPalpha', 'ACX2', 'ABCC2', 'PETE1', 'RNS1'}"
0,0,12,0,"{'cPGK2', 'GER2', 'CM1', 'CCR1', 'NIT2', 'ELI3-1', 'APX1', 'ERD5', 'PLDALPHA1', 'AT2G35790', 'GSTF6', 'LecRK-V.5', 'ECS1', 'GS2', 'MFP2', 'FAH1', 'TT4', 'PKT3', 'ROF1', 'ICK1', 'UGT88A1', 'CCOAMT', 'GSTU19', 'uL18-L4', 'SEH', 'GPX2', 'PRK', 'CYP71B6', 'AIM1', 'NIA2', 'LOX1', 'CAD9', 'PLDBETA1', 'RNS2', 'EF1alpha', 'AT3G15350', 'RNS1', 'ARAB-1', 'DHS1', 'CAM2', 'ATRABE1B', 'MPPalpha', 'ACX2', 'ABCC2', 'WIN2'}"
0,0,13,2,"{'MYB68', 'cPGK2', 'GER2', 'GRF7', 'CM1', 'CCR1', 'NIT2', 'ELI3-1', 'APX1', 'ERD5', 'AT2G35790', 'PLDALPHA1', 'GSTF6', 'LecRK-V.5', 'ECS1', 'GS2', 'MFP2', 'FAH1', 'TT4', 'AT4G16610', 'PKT3', 'ROF1', 'ICK1', 'UGT88A1', 'CCOAMT', 'GSTU19', 'uL18-L4', 'GPX1', 'UBQ4', 'SEH', 'GPX2', 'PRK', 'CYP71B6', 'AIM1', 'NIA2', 'LOX1', 'CAD9', 'PLDBETA1', 'RNS2', 'EF1alpha', 'AT3G15350', 'RNS1', 'ARAB-1', 'DHS1', 'CAM2', 'ATRABE1B', 'MPPalpha', 'ACX2', 'ABCC2', 'WIN2'}"
0,2,14,0,"{'MYB68', 'uL18-L4', 'PLC8', 'TGG2', 'GPX1', 'UBQ4', 'TGG1', 'ARAB-1', 'AT-P4H-1', 'TBL9', 'PME1', 'ER', 'PETE1', 'AT5G06940', 'PR1'}"
0,0,14,1,"{'cPGK2', 'GER2', 'GRF7', 'CM1', 'CCR1', 'NIT2', 'EXO70A3', 'ERD5', 'PLDALPHA1', 'AT2G35790', 'GSTF6', 'LecRK-V.5', 'GS2', 'MFP2', 'FAH1', 'PKT3', 'ROF1', 'ICK1', 'UGT88A1', 'TBL15', 'CCOAMT', 'GSTU19', 'uL18-L4', 'GPX1', 'SEH', 'HOG1', 'VEP1', 'HPL1', 'CYP71B6', 'AIM1', 'NIA2', 'LOX1', 'CAD9', 'PLDBETA1', 'RNS2', 'EF1alpha', 'AT3G15350', 'RNS1', 'ARAB-1', 'CAM2', 'NDPK1', 'ATRABE1B', 'MPPalpha', 'ACX2', 'ABCC2', 'WIN2'}"
0,0,15,2,"{'uL18-L4', 'SEH', 'GER2', 'GPX2', 'HPL1', 'WIN2', 'CM1', 'CCR1', 'NIA2', 'CAD9', 'PLDBETA1', 'RNS2', 'EF1alpha', 'ERD5', 'AT3G15350', 'GSTF6', 'GS2', 'CAM2', 'MFP2', 'FAH1', 'TT4', 'ATRABE1B', 'MPPalpha', 'ROF1', 'UGT88A1', 'RNS1', 'GSTU19'}"
0,2,16,3,"{'GER2', 'GRF7', 'ELI3-1', 'APX1', 'ER', 'PLDALPHA1', 'TGG2', 'AT2G35790', 'LecRK-V.5', 'GS2', 'MFP2', 'LAZ5', 'ATR2', 'FAH1', 'TT4', 'PKT3', 'ROF1', 'ICK1', 'UGT88A1', 'TBL15', 'CCOAMT', 'GSTU19', 'SEH', 'GPX2', 'PLL16', 'PRK', 'PME1', 'CYP71B6', 'VEP1', 'AIM1', 'NIA2', 'CAD9', 'AO1', 'RNS2', 'PLC8', 'AT3G15350', 'TGG1', 'RNS1', 'DHS1', 'WRKY11', 'ATRABE1B', 'MPPalpha', 'ACX2', 'ABCC2', 'FAD2', 'WIN2', 'PR1'}"
0,0,16,2,"{'HCHIB', 'VEP1', 'HPL1', 'CM1', 'NIT2', 'CCR1', 'LOX1', 'AO1', 'PLDBETA1', 'EF1alpha', 'ERD5', 'TBL9', 'GSTF6', 'AIG1', 'CAM2', 'LAZ5', 'ATR2', 'WRKY11', 'NDPK1', 'PR4', 'FAD2', 'TBL15', 'PETE1'}"
0,0,17,1,"{'IAR3', 'cPGK2', 'ERF4', 'ACX1', 'EP3', 'THI2.1', 'EIF4A1', '4CL1', 'ACT2', 'ECS1', 'LAZ5', 'ATR2', 'HIS4', 'LOX2', 'EFE', 'CSD1', 'ASA1', 'TSB1', 'GSTU5', 'TBL15', 'Rem1.3', 'AOS', 'SAM-2', 'OPR1', 'LEA14', 'TUA4', 'NPR1', 'CYP83B1', 'OMT1', 'AAS', 'HOG1', 'AIG2', 'ASB1', 'PAL1', 'FAD7', 'LTI30', 'HSC70-1', 'PSBO1', 'ADAP', 'PER64', 'PLC1', 'BGL2', 'WRKY11', 'PAL2', 'ATOZI1', 'TSA1'}"
0,0,18,2,"{'MYB68', 'cPGK2', 'GER2', 'FSD1', 'GRF7', 'CM1', 'CCR1', 'NIT2', 'APX1', 'ELI3-1', 'ERD5', 'PLDALPHA1', 'AT2G35790', 'GSTF6', 'LecRK-V.5', 'ECS1', 'GS2', 'MFP2', 'FAH1', 'AT4G16610', 'TT4', 'PKT3', 'ROF1', 'ICK1', 'UGT88A1', 'CCOAMT', 'GSTU19', 'uL18-L4', 'SEH', 'GPX2', 'PRK', 'HPL1', 'CYP71B6', 'WIN2', 'CHIA', 'HMG1', 'NIA2', 'CAD9', 'PLDBETA1', 'RNS2', 'EF1alpha', 'AT3G15350', 'ARAB-1', 'AIG1', 'DHS1', 'CAM2', 'NDPK1', 'ATRABE1B', 'MPPalpha', 'ACX2', 'ABCC2', 'ATOZI1', 'RNS1'}"
0,0,19,2,"{'cPGK2', 'GER2', 'CM1', 'CCR1', 'NIT2', 'ELI3-1', 'APX1', 'ERD5', 'AT2G35790', 'PLDALPHA1', 'GSTF6', 'LecRK-V.5', 'ECS1', 'GS2', 'MFP2', 'FAH1', 'TT4', 'PKT3', 'ROF1', 'ICK1', 'UGT88A1', 'CCOAMT', 'GSTU19', 'uL18-L4', 'SEH', 'GPX2', 'PRK', 'CYP71B6', 'WIN2', 'AIM1', 'NIA2', 'LOX1', 'CAD9', 'PLDBETA1', 'RNS2', 'EF1alpha', 'AT3G15350', 'ARAB-1', 'DHS1', 'CAM2', 'ATRABE1B', 'MPPalpha', 'ACX2', 'ABCC2', 'RNS1'}"
0,2,20,2,"{'MYB68', 'NDR1', 'uL18-L4', 'PLC8', 'GPX1', 'UBQ4', 'TGG1', 'ARAB-1', 'ADA1A', 'AT4G16610', 'PME1', 'PR4', 'EXO70A3', 'ER', 'PDF1.2', 'AT5G06940', 'PR1'}"
0,0,20,1,"{'cPGK2', 'GER2', 'GRF7', 'CM1', 'CCR1', 'NIT2', 'ERD5', 'PLDALPHA1', 'AT2G35790', 'GSTF6', 'LecRK-V.5', 'GS2', 'MFP2', 'FAH1', 'AT4G16610', 'PKT3', 'ROF1', 'ICK1', 'UGT88A1', 'TBL15', 'CCOAMT', 'GSTU19', 'uL18-L4', 'GPX1', 'SEH', 'HOG1', 'VEP1', 'HPL1', 'CYP71B6', 'AIM1', 'NIA2', 'LOX1', 'CAD9', 'PLDBETA1', 'RNS2', 'EF1alpha', 'AT3G15350', 'RNS1', 'ARAB-1', 'CAM2', 'NDPK1', 'ATRABE1B', 'MPPalpha', 'ACX2', 'ABCC2', 'WIN2'}"
0,0,21,0,"{'MYB68', 'cPGK2', 'GER2', 'GRF7', 'CM1', 'CCR1', 'NIT2', 'ELI3-1', 'APX1', 'ERD5', 'AT2G35790', 'PLDALPHA1', 'GSTF6', 'LecRK-V.5', 'ECS1', 'GS2', 'MFP2', 'FAH1', 'TT4', 'AT4G16610', 'PKT3', 'ROF1', 'ICK1', 'UGT88A1', 'CCOAMT', 'GSTU19', 'uL18-L4', 'SEH', 'GPX2', 'PRK', 'CYP71B6', 'AIM1', 'NIA2', 'LOX1', 'CAD9', 'PLDBETA1', 'RNS2', 'EF1alpha', 'AT3G15350', 'RNS1', 'ARAB-1', 'DHS1', 'CAM2', 'ATRABE1B', 'MPPalpha', 'ACX2', 'ABCC2', 'WIN2'}"
0,2,22,2,"{'MYB68', 'uL18-L4', 'GPX1', 'UBQ4', 'SEH', 'HCHIB', 'PME1', 'CCR1', 'EXO70A3', 'AIM1', 'LOX1', 'ER', 'OXR2', 'LHB1B2', 'PLC8', 'AT2G35790', 'TGG1', 'TBL9', 'ADA1A', 'PR4', 'ICK1', 'PETE1', 'PR1'}"
0,0,22,1,"{'MYB68', 'cPGK2', 'GER2', 'GRF7', 'CM1', 'NIT2', 'ELI3-1', 'APX1', 'ERD5', 'PLDALPHA1', 'GSTF6', 'LecRK-V.5', 'GS2', 'MFP2', 'FAH1', 'TT4', 'PKT3', 'ROF1', 'UGT88A1', 'CCOAMT', 'GSTU19', 'uL18-L4', 'SAM-2', 'GPX1', 'GPX2', 'HOG1', 'HPL1', 'CYP71B6', 'CHIA', 'HMG1', 'NIA2', 'CAD9', 'PLDBETA1', 'RNS2', 'EF1alpha', 'HSC70-1', 'AT3G15350', 'RNS1', 'DHS1', 'CAM2', 'NDPK1', 'ATRABE1B', 'MPPalpha', 'ACX2', 'ABCC2', 'PLC1', 'WIN2'}"
0,0,23,2,"{'cPGK2', 'GER2', 'GRF7', 'CM1', 'CCR1', 'NIT2', 'ELI3-1', 'APX1', 'ERD5', 'AT2G35790', 'PLDALPHA1', 'GSTF6', 'LecRK-V.5', 'ECS1', 'GS2', 'MFP2', 'FAH1', 'TT4', 'AT4G16610', 'PKT3', 'ROF1', 'ICK1', 'UGT88A1', 'CCOAMT', 'GSTU19', 'uL18-L4', 'GPX1', 'UBQ4', 'GPX2', 'PRK', 'HPL1', 'CYP71B6', 'AIM1', 'NIA2', 'HMG1', 'LOX1', 'CAD9', 'PLDBETA1', 'AO1', 'RNS2', 'EF1alpha', 'AT3G15350', 'RNS1', 'ARAB-1', 'DHS1', 'CAM2', 'ATRABE1B', 'MPPalpha', 'ACX2', 'ABCC2', 'PETE1', 'WIN2'}"
0,0,24,2,"{'GER2', 'GRF7', 'CM1', 'NIT2', 'ELI3-1', 'APX1', 'ERD5', 'AT2G35790', 'GSTF6', 'LecRK-V.5', 'GS2', 'MFP2', 'FAH1', 'TT4', 'PKT3', 'ROF1', 'UGT88A1', 'CCOAMT', 'GSTU19', 'uL18-L4', 'GPX1', 'GPX2', 'PRK', 'VEP1', 'HPL1', 'CYP71B6', 'CHIA', 'HMG1', 'NIA2', 'CAD9', 'PLDBETA1', 'RNS2', 'EF1alpha', 'AT3G15350', 'ARAB-1', 'AIG1', 'DHS1', 'CAM2', 'NDPK1', 'ATRABE1B', 'MPPalpha', 'ACX2', 'ABCC2', 'WIN2'}"
0,2,25,2,"{'uL18-L4', 'PLC8', 'TGG2', 'GPX1', 'UBQ4', 'TGG1', 'ARAB-1', 'AT4G16610', 'PLL16', 'PME1', 'AO1', 'ER', 'FAD2', 'PR1'}"
1,2,2,1,"{'GER2', 'GRF7', 'NIT2', 'ELI3-1', 'APX1', 'ER', 'TGG2', 'LecRK-V.5', 'GS2', 'MFP2', 'ATR2', 'FAH1', 'TT4', 'PKT3', 'ROF1', 'UGT88A1', 'TBL15', 'CCOAMT', 'PDF1.2', 'GSTU19', 'uL18-L4', 'GPX1', 'GPX2', 'PRK', 'CHIA', 'AIM1', 'NIA2', 'HMG1', 'CAD9', 'PLDBETA1', 'RNS2', 'AT-P4H-1', 'AT3G15350', 'DHS1', 'AIG1', 'WRKY11', 'ATRABE1B', 'MPPalpha', 'ACX2', 'ABCC2', 'FAD2', 'WIN2'}"
1,1,2,2,"{'TCH3', 'ERF4', 'FSD1', 'MPK3', 'TCH2', 'EXO70A3', 'TUB9', 'ER', 'AT5G06940', 'THI2.1', 'NDR1', 'EP3', 'TGG2', 'GSTF6', 'ECS1', 'HIS4', 'MEKK1', 'URE', 'UGT88A1', 'TBL15', 'Rem1.3', 'FPS1', 'TUA4', 'UBQ4', 'AAS', 'PLL16', 'AIG2', 'PME1', 'HPL1', 'OXR2', 'TCH4', 'AO1', 'PR5', 'PLC8', 'TGG1', 'ADA1A', 'BGL2', 'CAM2', 'ACS2', 'ATOZI1', 'PR1'}"
1,1,3,1,"{'TCH3', 'ERF4', 'FSD1', 'MPK3', 'TCH2', 'EXO70A3', 'TUB9', 'ER', 'THI2.1', 'NDR1', 'TGG2', 'ECS1', 'HIS4', 'ATR2', 'MEKK1', 'URE', 'Rem1.3', 'FPS1', 'TUA4', 'UBQ4', 'AAS', 'PLL16', 'AIG2', 'OXR2', 'TCH4', 'AO1', 'EF1alpha', 'PR5', 'PLC8', 'TGG1', 'ADA1A', 'PER64', 'PLC1', 'BGL2', 'CAM2', 'ACS2', 'ATOZI1', 'PR1'}"
1,2,5,3,"{'GER2', 'GRF7', 'NIT2', 'ELI3-1', 'APX1', 'AT2G35790', 'LecRK-V.5', 'GS2', 'MFP2', 'ATR2', 'FAH1', 'TT4', 'PKT3', 'ROF1', 'TBL15', 'CCOAMT', 'GPX1', 'SEH', 'PRK', 'CYP71B6', 'VEP1', 'CHIA', 'HMG1', 'CAD9', 'PLDBETA1', 'RNS2', 'AT3G15350', 'ARAB-1', 'AIG1', 'DHS1', 'WRKY11', 'ATRABE1B', 'ACX2', 'ABCC2', 'RNS1'}"
1,1,5,0,"{'MYB68', 'TCH3', 'cPGK2', 'ERF4', 'FSD1', 'MPK3', 'TCH2', 'EXO70A3', 'APX1', 'TUB9', 'ER', 'THI2.1', 'AT5G06940', 'NDR1', 'TGG2', 'HIS4', 'ATR2', 'MEKK1', 'URE', 'TBL15', 'Rem1.3', 'FPS1', 'TUA4', 'UBQ4', 'AAS', 'PRK', 'PLL16', 'AIG2', 'PME1', 'HPL1', 'CAD9', 'OXR2', 'TCH4', 'AO1', 'PR5', 'PLC8', 'TGG1', 'ADA1A', 'BGL2', 'CAM2', 'ATRABE1B', 'ACS2', 'ATOZI1', 'PR1'}"
1,1,6,0,"{'MYB68', 'TCH3', 'cPGK2', 'ERF4', 'GER2', 'FSD1', 'MPK3', 'TCH2', 'EXO70A3', 'TUB9', 'ER', 'THI2.1', 'AT5G06940', 'NDR1', 'TGG2', 'ECS1', 'HIS4', 'MEKK1', 'URE', 'UGT88A1', 'TBL15', 'Rem1.3', 'GSTU19', 'FPS1', 'uL18-L4', 'TUA4', 'UBQ4', 'SEH', 'AAS', 'GPX2', 'PLL16', 'AIG2', 'PME1', 'VEP1', 'HPL1', 'NIA2', 'OXR2', 'TCH4', 'AO1', 'PR5', 'PLC8', 'TGG1', 'ADA1A', 'BGL2', 'CAM2', 'MPPalpha', 'ABCC2', 'ACS2', 'ATOZI1', 'RNS1', 'PR1'}"
1,0,7,2,"{'MYB68', 'uL18-L4', 'SEH', 'GER2', 'HCHIB', 'CYP71B6', 'CCR1', 'LOX1', 'AT2G35790', 'TBL9', 'ARAB-1', 'GS2', 'MFP2', 'LAZ5', 'NDPK1', 'AT4G16610', 'ROF1', 'PR4', 'ICK1', 'ABCC2', 'PETE1', 'RNS1'}"
1,2,7,3,"{'GER2', 'CCR1', 'NIT2', 'EXO70A3', 'ELI3-1', 'APX1', 'AT2G35790', 'TBL9', 'LecRK-V.5', 'GS2', 'MFP2', 'LAZ5', 'FAH1', 'TT4', 'ROF1', 'PR4', 'ICK1', 'UGT88A1', 'TBL15', 'CCOAMT', 'GSTU19', 'uL18-L4', 'GPX1', 'GPX2', 'PRK', 'CYP71B6', 'HCHIB', 'PLL16', 'CHIA', 'NIA2', 'HMG1', 'LOX1', 'CAD9', 'AO1', 'ARAB-1', 'AIG1', 'DHS1', 'ATRABE1B', 'MPPalpha', 'ABCC2', 'PETE1'}"
1,1,7,0,"{'MYB68', 'TCH3', 'cPGK2', 'ERF4', 'FSD1', 'MPK3', 'TCH2', 'EXO70A3', 'TUB9', 'ER', 'THI2.1', 'AT5G06940', 'NDR1', 'TGG2', 'ECS1', 'HIS4', 'MEKK1', 'URE', 'UGT88A1', 'TBL15', 'Rem1.3', 'GSTU19', 'FPS1', 'TUA4', 'UBQ4', 'SEH', 'AAS', 'GPX2', 'PLL16', 'AIG2', 'PME1', 'VEP1', 'HPL1', 'NIA2', 'OXR2', 'TCH4', 'AO1', 'PR5', 'PLC8', 'TGG1', 'ADA1A', 'BGL2', 'CAM2', 'MPPalpha', 'ACS2', 'ATOZI1', 'RNS1', 'PR1'}"
1,1,9,1,"{'TCH3', 'ERF4', 'FSD1', 'MPK3', 'TCH2', 'EXO70A3', 'TUB9', 'ER', 'THI2.1', 'AT5G06940', 'NDR1', 'AT2G35790', 'TGG2', 'PLDALPHA1', 'TBL9', 'ECS1', 'HIS4', 'MEKK1', 'AT4G16610', 'URE', 'Rem1.3', 'FPS1', 'uL18-L4', 'GPX1', 'TUA4', 'UBQ4', 'AAS', 'AIG2', 'PME1', 'CYP71B6', 'AIM1', 'LOX1', 'OXR2', 'TCH4', 'PR5', 'PLC8', 'TGG1', 'ADA1A', 'ARAB-1', 'BGL2', 'CAM2', 'FAD2', 'ABCC2', 'ACS2', 'ATOZI1', 'PR1'}"
1,1,10,1,"{'MYB68', 'TCH3', 'ERF4', 'FSD1', 'MPK3', 'TCH2', 'EXO70A3', 'TUB9', 'THI2.1', 'AT5G06940', 'NDR1', 'PLDALPHA1', 'AT2G35790', 'TBL9', 'ECS1', 'HIS4', 'MEKK1', 'AT4G16610', 'PKT3', 'URE', 'ICK1', 'Rem1.3', 'FPS1', 'GPX1', 'TUA4', 'AAS', 'PRK', 'AIG2', 'PME1', 'CYP71B6', 'AIM1', 'LOX1', 'OXR2', 'TCH4', 'PR5', 'PLC8', 'TGG1', 'ADA1A', 'ARAB-1', 'AIG1', 'BGL2', 'CAM2', 'FAD2', 'ACX2', 'ABCC2', 'ACS2', 'ATOZI1'}"
1,0,11,3,"{'MYB68', 'PETE1', 'AT-P4H-1', 'PLDALPHA1', 'TBL9', 'SEH', 'HCHIB', 'AT4G16610', 'PRK', 'CCR1', 'PR4', 'ICK1', 'LOX1', 'ACS2', 'FAD2', 'RNS1'}"
1,1,11,2,"{'MYB68', 'TCH3', 'ERF4', 'FSD1', 'MPK3', 'TCH2', 'EXO70A3', 'TUB9', 'THI2.1', 'AT5G06940', 'NDR1', 'AT2G35790', 'TGG2', 'TBL9', 'ECS1', 'HIS4', 'FAH1', 'MEKK1', 'AT4G16610', 'URE', 'Rem1.3', 'FPS1', 'uL18-L4', 'GPX1', 'TUA4', 'AIG2', 'PME1', 'OXR2', 'TCH4', 'AT-P4H-1', 'PR5', 'PLC8', 'TGG1', 'ADA1A', 'AIG1', 'BGL2', 'CAM2', 'ATRABE1B', 'FAD2', 'ACS2', 'ATOZI1'}"
1,1,13,3,"{'TCH3', 'ERF4', 'FSD1', 'MPK3', 'TCH2', 'EXO70A3', 'TUB9', 'AT5G06940', 'THI2.1', 'NDR1', 'ECS1', 'HIS4', 'MEKK1', 'URE', 'PR4', 'PDF1.2', 'Rem1.3', 'FPS1', 'TUA4', 'UBQ4', 'AAS', 'AIG2', 'PME1', 'OXR2', 'TCH4', 'AO1', 'PR5', 'PLC8', 'TGG1', 'ADA1A', 'AIG1', 'BGL2', 'CAM2', 'FAD2', 'ACS2', 'ATOZI1', 'PR1'}"
