source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,gene_ratio,recall,query,parents,qscore
GO:BP,GO:0019395,fatty acid oxidation,0.0029138343253068753,True,"""The removal of one or more electrons from a fatty acid, with or without the concomitant removal of a proton or protons, by reaction with an electron-accepting substance, by addition of oxygen or by removal of hydrogen."" [ISBN:0198506732]",39,63,4,21925,0.06349206349206349,0.10256410256410256,query_1,"['GO:0006631', 'GO:0034440']",0.16098635841047365
GO:BP,GO:0009062,fatty acid catabolic process,0.0029138343253068753,True,"""The chemical reactions and pathways resulting in the breakdown of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes."" [GOC:go_curators]",39,63,4,21925,0.06349206349206349,0.10256410256410256,query_1,"['GO:0006631', 'GO:0016042', 'GO:0072329']",0.16098635841047365
GO:BP,GO:0045087,innate immune response,0.005468903227749706,True,"""Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens."" [GO_REF:0000022, GOC:add, GOC:ebc, GOC:mtg_sensu]",257,63,7,21925,0.1111111111111111,0.027237354085603113,query_1,"['GO:0006955', 'GO:0140546']",0.25134441793320417
GO:BP,GO:0032787,monocarboxylic acid metabolic process,0.006364928785689971,True,"""The chemical reactions and pathways involving monocarboxylic acids, any organic acid containing one carboxyl (COOH) group or anion (COO-)."" [GOC:vk]",489,63,9,21925,0.14285714285714285,0.018404907975460124,query_1,['GO:0019752'],0.3137437787296739
GO:BP,GO:0033554,cellular response to stress,0.0063838621983966235,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",1085,63,13,21925,0.20634920634920634,0.011981566820276499,query_1,"['GO:0006950', 'GO:0051716']",0.4529192769949901
GO:BP,GO:0044282,small molecule catabolic process,0.007520951890300171,True,"""The chemical reactions and pathways resulting in the breakdown of small molecules, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:vw]",178,63,6,21925,0.09523809523809523,0.033707865168539325,query_1,"['GO:0009056', 'GO:0044281']",0.20225973232279976
GO:BP,GO:0006955,immune response,0.008092064989655782,True,"""Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat."" [GO_REF:0000022, GOC:add]",273,63,7,21925,0.1111111111111111,0.02564102564102564,query_1,"['GO:0002376', 'GO:0050896']",0.2324378486606419
GO:BP,GO:0019752,carboxylic acid metabolic process,0.009206302144617354,True,"""The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."" [ISBN:0198506732]",955,63,12,21925,0.19047619047619047,0.012565445026178011,query_1,['GO:0043436'],0.387793290658405
GO:BP,GO:0002376,immune system process,0.009312031131927481,True,"""Any process involved in the development or functioning of the immune system, an organismal system for calibrated responses to potential internal or invasive threats."" [GO_REF:0000022, GOC:add]",279,63,7,21925,0.1111111111111111,0.025089605734767026,query_1,['GO:0008150'],0.22566173119566807
GO:BP,GO:0072329,monocarboxylic acid catabolic process,0.010847884167645256,True,"""The chemical reactions and pathways resulting in the breakdown of monocarboxylic acids, any organic acid containing one carboxyl (-COOH) group."" [GOC:mah]",54,63,4,21925,0.06349206349206349,0.07407407407407407,query_1,"['GO:0032787', 'GO:0046395']",0.1247399975107675
GO:BP,GO:0006979,response to oxidative stress,0.01785592014449431,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals."" [GOC:jl, PMID:12115731]",426,63,8,21925,0.12698412698412698,0.018779342723004695,query_1,['GO:0006950'],0.22199590666619284
GO:BP,GO:0016054,organic acid catabolic process,0.020742106861704347,True,"""The chemical reactions and pathways resulting in the breakdown of organic acids, any acidic compound containing carbon in covalent linkage."" [ISBN:0198506732]",128,63,5,21925,0.07936507936507936,0.0390625,query_1,"['GO:0006082', 'GO:0044282']",0.1335831057632657
GO:BP,GO:0046395,carboxylic acid catabolic process,0.020742106861704347,True,"""The chemical reactions and pathways resulting in the breakdown of carboxylic acids, any organic acid containing one or more carboxyl (-COOH) groups."" [ISBN:0198506732]",128,63,5,21925,0.07936507936507936,0.0390625,query_1,"['GO:0016054', 'GO:0019752']",0.1335831057632657
GO:BP,GO:0009987,cellular process,0.022050661472233068,True,"""Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level."" [GOC:go_curators, GOC:isa_complete]",16591,63,60,21925,0.9523809523809523,0.0036164185401723827,query_1,['GO:0008150'],1.5776936934323738
GO:BP,GO:1902065,response to L-glutamate,0.029984480598753152,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an L-glutamate stimulus."" [GOC:TermGenie, PMID:23574009]",4,63,2,21925,0.031746031746031744,0.5,query_1,"['GO:0043200', 'GO:1901698', 'GO:1901700']",0.04835249110336414
GO:BP,GO:0009617,response to bacterium,0.03216767482130937,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium."" [GOC:hb]",463,63,8,21925,0.12698412698412698,0.017278617710583154,query_1,['GO:0051707'],0.1895340101723629
GO:BP,GO:0006629,lipid metabolic process,0.03581792972666842,True,"""The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."" [GOC:ma]",1097,63,12,21925,0.19047619047619047,0.010938924339106655,query_1,['GO:0044238'],0.2754094323706975
GO:BP,GO:0070887,cellular response to chemical stimulus,0.035950829733613965,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",1669,63,15,21925,0.23809523809523808,0.008987417615338526,query_1,"['GO:0042221', 'GO:0051716']",0.3438788289971779
GO:BP,GO:0097305,response to alcohol,0.03741877797933323,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an alcohol stimulus."" [GOC:pr, PMID:24014527]",613,63,9,21925,0.14285714285714285,0.01468189233278956,query_1,['GO:1901700'],0.20384434282469943
GO:BP,GO:1901701,cellular response to oxygen-containing compound,0.04026355744311442,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an oxygen-containing compound stimulus."" [GOC:pr, GOC:TermGenie]",772,63,10,21925,0.15873015873015872,0.012953367875647668,query_1,"['GO:0070887', 'GO:1901700']",0.22144251684641514
GO:BP,GO:0008152,metabolic process,0.045322094335446025,True,"""A cellular process consisting of the biochemical pathways by which a living organism transforms chemical substances. This includes including anabolism (biosynthetic process) and catabolism (catabolic process). Metabolic processes includes the transformation of small molecules, as well  macromolecular processes such as DNA repair and replication, protein synthesis and degradation."" [GOC:go_curators, ISBN:0198547684]",12615,63,51,21925,0.8095238095238095,0.004042806183115339,query_1,['GO:0009987'],1.0877490715670877
GO:BP,GO:0009628,response to abiotic stimulus,0.046372421610850104,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abiotic (not derived from living organisms) stimulus."" [GOC:hb]",2131,63,17,21925,0.2698412698412698,0.007977475363679024,query_1,['GO:0050896'],0.3598981557504084
